model_rank,batter_name,team,opponent,opposing_pitcher,lineup_slot,venue,park_hr_factor,hr_rating,rating,baseline_rating,matchup_rating,pitcher_vulnerability_rating,pitch_matchup_edge_rating,park_rating,weather_rating,lineup_context_rating,weather_temperature_f,weather_wind_mph,weather_wind_direction_deg,recent_power_rating,barrel_rating,contact_quality_rating,exit_velocity_rating,key_factors,expected_lineup,input_model_rank,v2_score,ranking_score,v2_rank
57,George Springer,Toronto Blue Jays,Kansas City Royals,Daniel Lynch IV,2,Kauffman Stadium,168,8.2,Strong,7.5,7.2,6.2,7.2,8.6,5.5,9.0,96.98,8.2642343,177.0,7.8,5.5,3.3,5.5,Lineup context + Ballpark,False,32,0.6288888888888888,0.6288888888888888,57
58,Fernando Tatis Jr.,San Diego Padres,New York Yankees,Max Fried,1,Petco Park,105,8.2,Strong,8.7,6.4,2.8,6.4,5.7,5.5,10.0,,,,8.9,10.0,10.0,9.6,Lineup context + Recent power,False,73,0.6286111111111112,0.6286111111111112,58
59,Wyatt Langford,Texas Rangers,Tampa Bay Rays,Nick Martinez,3,Globe Life Field,94,8.2,Strong,3.7,8.5,8.8,8.5,5.2,5.5,8.0,96.62,7.456452,167.0,3.8,2.7,9.8,7.9,Pitcher vulnerability + Pitch-type matchup,False,122,0.6275000000000002,0.6275000000000002,59
60,Jeremy Peña,Houston Astros,Arizona Diamondbacks,Merrill Kelly,1,Daikin Park,111,8.1,Strong,5.0,7.5,8.2,7.5,6.0,5.5,10.0,,,,7.4,8.1,4.3,3.3,Lineup context + Pitcher vulnerability,False,59,0.6275000000000001,0.6275000000000001,60
61,Javier Sanoja,Miami Marlins,Chicago Cubs,Shota Imanaga,4,loanDepot park,135,8.1,Strong,7.3,2.9,9.0,2.9,7.1,6.5,7.0,83.12,3.2311292000000003,112.0,7.4,2.3,8.3,5.2,Pitcher vulnerability + Recent power,False,25,0.6272222222222223,0.6272222222222223,61
62,Tristan Peters,Chicago White Sox,Minnesota Twins,Zebby Matthews,7,Rate Field,69,8.1,Strong,4.6,8.6,7.3,8.6,4.1,5.5,4.0,,,,3.8,7.9,9.9,8.4,Pitch-type matchup + Pitcher vulnerability,False,137,0.6266666666666667,0.6266666666666667,62
63,Brandon Nimmo,Texas Rangers,Tampa Bay Rays,Nick Martinez,4,Globe Life Field,94,8.1,Strong,7.8,3.0,8.8,3.0,5.2,5.5,7.0,96.62,7.456452,167.0,3.8,5.0,6.5,7.9,Pitcher vulnerability + Hitter skill,False,70,0.6261111111111113,0.6261111111111113,63
64,Corbin Carroll,Arizona Diamondbacks,Houston Astros,Cristian Javier,2,Daikin Park,111,8.0,Strong,8.1,4.6,6.8,4.6,6.0,5.5,9.0,,,,3.8,6.1,6.4,9.4,Lineup context + Hitter skill,False,53,0.6261111111111112,0.6261111111111112,64
65,Dominic Canzone,Seattle Mariners,Athletics,Kade Morris,2,T-Mobile Park,37,8.0,Strong,4.8,6.3,9.3,6.3,2.7,5.5,9.0,,,,6.6,8.3,4.8,3.9,Pitcher vulnerability + Lineup context,False,108,0.6230555555555556,0.6230555555555556,65
66,Corey Seager,Texas Rangers,Tampa Bay Rays,Nick Martinez,2,Globe Life Field,94,8.0,Strong,1.0,8.8,8.8,8.8,5.2,5.5,9.0,96.62,7.456452,167.0,7.0,9.3,9.5,9.4,Lineup context + Pitcher vulnerability,False,168,0.6222222222222223,0.6222222222222223,66
67,Alex Bregman,Chicago Cubs,Miami Marlins,Janson Junk,4,loanDepot park,135,7.9,Strong,6.8,8.9,3.7,8.9,7.1,6.5,7.0,83.12,3.2311292000000003,112.0,10.0,9.2,9.2,4.5,Recent power + Pitch-type matchup,False,56,0.6219444444444444,0.6219444444444444,67
68,Griffin Conine,Miami Marlins,Chicago Cubs,Shota Imanaga,3,loanDepot park,135,7.9,Strong,5.9,6.8,9.0,6.8,7.1,6.5,8.0,83.12,3.2311292000000003,112.0,3.8,3.1,1.7,6.4,Pitcher vulnerability + Lineup context,False,28,0.621388888888889,0.621388888888889,68
69,Matt Olson,Atlanta Braves,Philadelphia Phillies,Cristopher Sánchez,4,Citizens Bank Park,115,7.9,Strong,6.8,9.5,5.1,9.5,6.2,6.5,7.0,81.5,2.8583066,315.0,3.8,7.9,6.2,5.4,Pitch-type matchup + Lineup context,False,60,0.6205555555555556,0.6205555555555556,69
70,Michael Massey,Kansas City Royals,Toronto Blue Jays,Jameson Taillon,7,Kauffman Stadium,168,7.8,Strong,5.0,5.1,9.9,5.1,8.6,5.5,4.0,96.98,8.2642343,177.0,3.8,5.5,6.6,6.7,Pitcher vulnerability + Ballpark,False,75,0.6205555555555555,0.6205555555555555,70
71,Hao-Yu Lee,Detroit Tigers,Cleveland Guardians,Logan Allen,3,Progressive Field,60,7.8,Strong,4.7,4.3,9.6,4.3,3.7,6.6,8.0,73.75999999999999,7.3943149,195.0,8.3,6.8,5.0,7.1,Pitcher vulnerability + Recent power,False,99,0.6166666666666667,0.6166666666666667,71
72,Thomas Saggese,St. Louis Cardinals,Colorado Rockies,Ryan Feltner,8,Coors Field,207,7.8,Strong,3.8,9.7,6.5,9.7,10.0,5.5,3.0,,,,9.9,9.6,3.9,6.3,Ballpark + Recent power,False,90,0.6133333333333333,0.6133333333333333,72
73,Christian Encarnacion-Strand,Baltimore Orioles,Boston Red Sox,Ranger Suarez,6,Oriole Park at Camden Yards,110,7.7,Strong,8.2,8.4,2.6,8.4,6.0,6.5,5.0,83.12,3.4175405,279.0,8.6,9.9,8.1,7.0,Recent power + Pitch-type matchup,False,68,0.6127777777777778,0.6127777777777778,73
